Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;NMENG/OUT/28032;14/11/2025;17:07;...;...;...;ALMACÉN;;;30,000;30,00;3,1500;0,00;94,50;21,00
No;Almacén 16;NMENG/OUT/28032;14/11/2025;17:07;...;...;...;ALMACÉN;;;305,000;305,00;0,2500;0,00;76,25;21,00
No;Almacén 16;...;11/11/2025;16:52;...;...;...;ALMACÉN;;;100,000;100,00;0,7100;0,00;71,00;21,00
No;Almacén 16;S75663;11/11/2025;16:52;...;...;...;ALMACÉN;;;1.000,000;1.000,00;0,8235;0,00;823,50;21,00
No;Almacén 16;S75663;11/11/2025;16:52;H07Z1- K6MR;;CABLE LIBRE HALOGENOS 6MM MR;ALMACÉN;;;100,000;100,00;0,7100;0,00;71,00;21,00
No;Almacén 16;S75663;11/11/2025;16:52;H07Z1/K6AZ;;CABLE LIBRE HALÓGENOS 6MM AZ;ALMACÉN;;;100,000;100,00;0,7100;0,00;71,00;21,00
No;Almacén 16;S75663;11/11/2025;16:52;H07Z1 - K6AV;;CABLE LIBRE HALOGENOS 6MM AV AMARILLO VERDE;ALMACÉN;;;100,000;100,00;0,7100;0,00;71,00;21,00
No;Almacén 16;S75663;11/11/2025;16:52;...;...;...;ALMACÉN;;;960,000;960,00;0,8235;0,00;790,56;21,00
No;Almacén 16;S75663;11/11/2025;16:52;PVBM05;;CONECTOR SOLAR MC4 1000V AEREO PARA M/H;ALMACÉN;;;200,000;200,00;1,2124;0,00;242,48;21,00
No;Almacén 16;S75663;11/11/2025;16:52;...;...;...;ALMACÉN;;;144,000;144,00;1,6278;0,00;234,40;21,00
No;Almacén 16;;15/11/2025;9:58;233.2500.0;;MANGUITO CORRUGADO M-25;MANGUITO CORRUGADO M-25;;;200,000;200,00;1,3425;0,00;268,50;21,00
No;Almacén 16;;15/11/2025;9:58;H07Z1-K16NG;;CABLE L. HALOGENOS H07Z1-K 16 MM NEGRO;CABLE L. HALOGENOS H07Z1-K 16 MM NEGRO;;;100,000;100,00;1,8400;0,00;184,00;21,00
