Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;8126009360;20/01/2026;17:29;00580659;;EQUIPO PRUEBA NITRÓGENO 50BAR CPN503A;EQUIPO PRUEBA NITRÓGENO 50BAR CPN503A ;;;1,000;1,00;349,0000;52,12;167,10;21,00
No;Almacén 16;8126009360;20/01/2026;17:29;00580210;;ACOPLAM.AD87 1/2*-20HX1/4*M(AS-04X05);ACOPLAM.AD87 1/2*-20HX1/4*M(AS-04X05);;;1,000;1,00;28,0000;52,12;13,41;21,00
No;Almacén 12;8126009360;20/01/2026;17:29;00580917;;ENVASE NITRÓGENO 7 L;ENVASE NITRÓGENO 7 L;;;1,000;1,00;209,2400;0,00;209,24;21,00
No;Almacén 16;8126009360;20/01/2026;17:29;00580592-1;;RECARGA BOTELLA NITRÓGENO 7L;RECARGA BOTELLA NITRÓGENO 7L;;;1,000;1,00;49,3200;0,00;49,32;21,00
