Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;035_636317;15/01/2026;16:03;CEI 70400020;;PASACABLES INT. POLIESTER TRENZADA TRIPLE 4MM, 20M;ALMACÉN (ANTONIO PERETE);;;1,000;1,00;74,7000;0,00;74,70;21,00
No;Almacén 16;035_636317;15/01/2026;16:03;HIJA20022248-002;;HUAWEI SMARTPS 100A-50 METER MONOFÁSICO;MANUEL PORRAS;;;1,000;1,00;70,0000;0,00;70,00;21,00
No;Almacén 16;035_8010417;08/01/2026;16:08;TUP 065200025;;TUPERPLAS ENCHUFABLE GRIS 25;TUPERPLAS ENCHUFABLE GRIS 25;;;57,000;57,00;3,1600;77,00;41,43;21,00
No;Almacén 16;035_8010417;08/01/2026;16:08;MIG 820401001009203;;AFIRENAS-L HO7Z1-K DE 10 NEGRO BB/CT (ROLLO478984);AFIRENAS-L HO7Z1-K DE 10 NEGRO BB/CT (ROLLO478984);;;50,000;50,00;1,4237;0,00;71,19;21,00
No;Almacén 16;035_8010417;08/01/2026;16:08;MIG 820401001008903;;AFIRENAS - L H07Z1-K DE 10 GRIS BB/CT (ROLLO0478985);AFIRENAS - L H07Z1-K DE 10 GRIS BB/CT (ROLLO0478985);;;50,000;50,00;1,4237;0,00;71,19;21,00
