Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;;23/02/2026;17:41;AIKO610;;MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4;MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4;;;12,000;12,00;70,1500;0,00;841,80;21,00
No;Almacén 16;;23/02/2026;17:41;BET07958;;LATIGUILLO CABLE EXTENSION 01C 140MM AIKO 610 WP;LATIGUILLO CABLE EXTENSION 01C 140MM AIKO 610 WP;;;1,000;1,00;12,0000;100,00;0,00;21,00
No;Almacén 16;;23/02/2026;17:41;624;;TRANSPORTES;TRANSPORTES;;;1,000;1,00;50,0000;0,00;50,00;21,00
