Nº Factura/ Regis.;Nº Factura Proveedor;Fecha Fra.;Fecha Recep.;Hora;Proveedor;IRPF Alq.;IRPF;Bases Exentas;Bases Con IVA;IVA total;% Ret.;Ret. Alq.;IRPF;Total;Estado;Contabilizada;Recurrente
COM/26-000115;1260115740;31/01/2026;31/01/2026;12:20;GRUPO ELECTRO STOCKS SLU;No;No;0,00;68,96;14,48;0,00;0,00;0,00;83,44;Sin conformar;Si;No
COM/26-000114;1260204764;15/02/2026;15/02/2026;12:12;GRUPO ELECTRO STOCKS SLU;No;No;0,00;173,81;36,50;0,00;0,00;0,00;210,31;Sin conformar;Si;No
COM/26-000113;265000019186;31/01/2026;31/01/2026;11:52;PETROPRIX ENERGÍA S.L;No;No;0,00;2.425,39;509,33;0,00;0,00;0,00;2.934,72;Sin conformar;Si;No
COM/26-000112;E10010629073-0126;05/01/2026;05/01/2026;11:48;ORANGE ESPAÑA SAU;No;No;57,39;323,91;55,97;0,00;0,00;0,00;379,88;Sin conformar;Si;No
COM/26-000111;E10010726677-0226;05/02/2026;05/02/2026;11:41;ORANGE ESPAÑA SAU;No;No;50,82;316,52;55,80;0,00;0,00;0,00;372,32;Sin conformar;Si;No
COM/26-000110;606005864;28/02/2026;28/02/2026;11:33;SUMINISTROS ELÉCTRICOS COTO SL;No;No;0,00;2.419,18;508,03;0,00;0,00;0,00;2.927,21;Sin conformar;Si;No
COM/26-000109;26/025365;01/03/2026;01/03/2026;11:28;DSM DOMINGO SÁNCHEZ MARÍN;No;No;0,00;74,00;15,54;0,00;0,00;0,00;89,54;Sin conformar;Si;No
COM/26-000108;26026;26/02/2026;26/02/2026;11:25;JOSE MANUEL LOPEZ AYLLON;No;Si;0,00;300,00;63,00;1,00;0,00;3,00;360,00;Sin conformar;Si;No
COM/26-000107;126-00193;28/02/2026;28/02/2026;11:16;RAMÍREZ LÓPEZ AGUSTÍN Y DOS MÁS C.B.;No;Si;0,00;440,00;92,40;15,00;0,00;66,00;466,40;Sin conformar;Si;Si
COM/26-000106;33/26;04/03/2026;04/03/2026;11:05;RAFAEL GONZALEZ MOLINA;No;Si;0,00;190,00;39,90;1,00;0,00;1,90;228,00;Sin conformar;Si;No
COM/26-000105;22/26;25/02/2026;25/02/2026;10:58;RAFAEL GONZALEZ MOLINA;No;Si;0,00;200,00;42,00;1,00;0,00;2,00;240,00;Sin conformar;Si;No
COM/26-000104;M/000125;24/02/2026;24/02/2026;10:48;FRANCISCO SÁNCHEZ MEJÍAS, S.L;No;No;0,00;90,00;18,90;0,00;0,00;0,00;108,90;Sin conformar;Si;No
COM/26-000103;1/692;24/02/2026;24/02/2026;17:49;INVERSOLAR EXTREMADURA SL;No;No;0,00;6.969,00;1.463,49;0,00;0,00;0,00;8.432,49;Sin conformar;Si;No
COM/26-000102;1114998211;20/01/2026;20/01/2026;17:47;MITSUBISHI ELECTRIC EUROPE, B.V. SUCURSAL EN ESPAÑA;No;No;0,00;825,00;173,25;0,00;0,00;0,00;998,25;Sin conformar;Si;No
COM/26-000101;VFR26-021236;23/02/2026;23/02/2026;17:41;BETSOLAR;No;No;0,00;891,80;187,28;0,00;0,00;0,00;1.079,08;Sin conformar;Si;No
COM/26-000100;002/260628;10/02/2026;10/02/2026;17:38;DISTRIBUCIONES Y CALEFACCION DEL SUR SL;No;No;0,00;440,47;92,50;0,00;0,00;0,00;532,97;Sin conformar;Si;No
COM/26-000099;V26018293;16/02/2026;16/02/2026;17:37;CANO MATERIALES DE CONSTR. SL;No;No;0,00;-13,77;-2,89;0,00;0,00;0,00;-16,66;Sin conformar;Si;No
COM/26-000098;V26018068;16/02/2026;16/02/2026;17:34;CANO MATERIALES DE CONSTR. SL;No;No;0,00;227,38;47,75;0,00;0,00;0,00;275,13;Sin conformar;Si;No
COM/26-000097;9803252;15/02/2026;15/02/2026;13:54;SALVADOR ESCODA SA;No;No;0,00;86,46;18,16;0,00;0,00;0,00;104,62;Sin conformar;Si;No
COM/26-000096;AM / 2601548;13/02/2026;13/02/2026;13:48;JAEN CLIMA SL;No;No;0,00;1.017,11;213,59;0,00;0,00;0,00;1.230,70;Sin conformar;Si;No
COM/26-000095;264014970;16/02/2026;16/02/2026;13:46;BP OIL ESPAÑA SAU;No;No;0,00;52,95;11,12;0,00;0,00;0,00;64,07;Sin conformar;Si;No
COM/26-000094;A433;13/02/2026;13/02/2026;13:44;FERBA / FERRETERÍA BAILENENSE, S.L.;No;No;0,00;41,44;8,70;0,00;0,00;0,00;50,14;Sin conformar;Si;No
COM/26-000093;A/20344;10/02/2026;10/02/2026;13:43;GRUPO MOLEIMAR 2003 SLU;No;No;0,00;24,79;5,21;0,00;0,00;0,00;30,00;Sin conformar;Si;No
COM/26-000092;1126010561;15/02/2026;15/02/2026;13:38;PECOMARK SA;No;No;0,00;49,32;10,36;0,00;0,00;0,00;59,68;Sin conformar;Si;No
COM/26-000091;1/582;16/02/2026;16/02/2026;13:33;INVERSOLAR EXTREMADURA SL;No;No;0,00;404,00;84,84;0,00;0,00;0,00;488,84;Sin conformar;Si;No
COM/26-000090;606004190;14/02/2026;14/02/2026;13:30;SUMINISTROS ELÉCTRICOS COTO SL;No;No;0,00;230,00;48,30;0,00;0,00;0,00;278,30;Sin conformar;Si;No
COM/26-000089;03/26;16/02/2026;16/02/2026;13:28;ANTONIO MORENO (AMS ARQUITECTURA);No;Si;0,00;375,00;78,75;15,00;0,00;56,25;397,50;Sin conformar;Si;No
COM/26-000088;F/ 069;03/02/2026;03/02/2026;13:26;ESTRUSUR SOLAR, SL.;No;No;0,00;537,30;112,83;0,00;0,00;0,00;650,13;Sin conformar;Si;No
COM/26-000087;F/ 075;05/02/2026;05/02/2026;13:22;ESTRUSUR SOLAR, SL.;No;No;0,00;446,95;93,86;0,00;0,00;0,00;540,81;Sin conformar;Si;No
