Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;310100867;20/02/2026;16:08;GR-WIT6000-HU;;INVERSOR HÍBRIDO TRIFÁSICO 6KW WIT6K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍAS DE BAJO VOLTAJE;INVERSOR HÍBRIDO TRIFÁSICO 6KW WIT6K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍAS DE BAJO VOLTAJE;;;1,000;1,00;1.035,0000;0,00;1.035,00;21,00
No;Almacén 16;640003606;25/02/2026;17:56;212184;;MARCADOR DE AGUJEROS PROFUNDOS AZUL-ANCHO DE MARCA 1MM;FRNCISCO ZAPATA;;;1,000;1,00;12,7300;20,00;10,18;21,00
No;Almacén 16;640003606;25/02/2026;17:56;GR-THREE PHASE METER 80A;;ACCESORIO MONITORIZACION TRIFASICO GROWATT 80 A;FRANCISCO ZAPATA;;;1,000;1,00;90,0000;0,00;90,00;21,00
No;Almacén 16;;28/02/2026;11:33;GR-WIT1000-HU;;INVERSOR HÍBRIDO TRIFÁSICO 10 KW WIT 10K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍA DE BAJO VOLTAJE;INVERSOR HÍBRIDO TRIFÁSICO 10 KW WIT 10K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍA DE BAJO VOLTAJE;;;1,000;1,00;1.284,0000;0,00;1.284,00;21,00
