Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;BVJA26-02462;23/02/2026;16:47;039F081515W;;SW PELLETS 316L DEFLECTOR H80;SW PELLETS 316L DEFLECTOR H80;;;1,000;1,00;33,3000;50,00;16,65;21,00
No;Almacén 16;BVJA26-02462;23/02/2026;16:47;039F08040SWJ/1;;SW PELLETS 316L CODO 80-45º;SW PELLETS 316L CODO 80-45º;;;2,000;2,00;20,6200;50,00;20,62;21,00
No;Almacén 16;BVJA26-02462;23/02/2026;16:47;039F08020SWJ/1;;SW PELLETS 316L TUBO 80-1000;SW PELLETS 316L TUBO 80-1000;;;3,000;3,00;31,4000;50,00;47,10;21,00
