Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;72899;09/02/2026;11:38;14809025;;EOSS LUNA-LUMIX BRASERO FUNDICIÓN GRANDE 135X95MM (SML111-02) RESPUESTO EOSS BRASERO 9KW;EOSS LUNA-LUMIX BRASERO FUNDICIÓN GRANDE 135X95MM (SML111-02) RESPUESTO EOSS BRASERO 9KW;;;1,000;1,00;100,0000;30,00;70,00;21,00
No;Almacén 16;72899;09/02/2026;11:38;14706035;;VENTILADOR TANGENCIAL IZDA (BOCA 300X40MM);VENTILADOR TANGENCIAL IZDA (BOCA 300X40MM);;;1,000;1,00;75,0000;30,00;52,50;21,00
No;Almacén 16;;10/02/2026;13:17;624;;TRANSPORTES;TRANSPORTES;;;1,000;1,00;9,0000;0,00;9,00;21,00
