Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;035_636859;26/01/2026;11:51;TUP 080600025;;CORRUGADO FORRADO 25 GRIS;GRANADA;;;150,000;150,00;0,2600;0,00;39,00;21,00
No;Almacén 16;035_636859;26/01/2026;11:51;LEG 403588;;MAGNET TX3 6KA C P+N 25A;GRANADA;;;1,000;1,00;5,7600;0,00;5,76;21,00
No;Almacén 16;035_636859;26/01/2026;11:51;HIT 006110;;3.5X100 DESTORNILLADOR 3.5X100 SERIE LASERTIP VDE1000V;GRANADA;;;1,000;1,00;6,2000;0,00;6,20;21,00
No;Almacén 16;035_637048;28/01/2026;13:41;HTI 006164;;PZ2 X 100 DESTORNILLADOR POZIDRIV PZ2 SERIE LASERTIP DVE1000V;JAVI C;;;1,000;1,00;8,9000;0,00;8,90;21,00
No;Almacén 16;035_637048;28/01/2026;13:41;CEI 46016000;;GEL LUBRICANTE DUPLOGEL INTRODUCIR1000;JAVI C;;;1,000;1,00;9,1000;0,00;9,10;21,00
