Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;;30/01/2026;13:23;DINAK80SP-ABRA-UNION;;ABRAZADERA UNIÓN DINAK SW 80 DIAM.;ABRAZADERA UNIÓN DINAK SW 80 DIAM.;;;17,000;17,00;7,1200;58,00;50,84;21,00
No;Almacén 16;;30/01/2026;13:23;DINAK80SP-EMBELLECED;;EMBELLECEDOR PLANO 80SW;EMBELLECEDOR PLANO 80SW;;;2,000;2,00;34,2500;58,00;28,77;21,00
No;Almacén 16;;30/01/2026;13:23;DINAK80DP-TUBO-1000;;MÓDULO RECTO DINAK DW D 80;MÓDULO RECTO DINAK DW D 80;;;4,000;4,00;45,4000;58,00;76,27;21,00
