Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 12;3156;26/02/2026;17:59;070248;;VARILLA ROSCADA DIN-975 M-8 8.8;VARILLA ROSCADA DIN-975 M-8 8.8;;;5,000;5,00;2,9500;35,00;9,59;21,00
No;Almacén 16;3260;27/02/2026;11:58;MA15773;;MWK BROCA ESCALONADA 6-35MM 14 E;JAVI C;;;1,000;1,00;129,3000;35,00;84,05;21,00
No;Almacén 16;3260;27/02/2026;11:58;427.521.106;;BROCA SDS-PLUS 6X50X115MM 4P;JAVI C;;;1,000;1,00;7,2900;35,00;4,74;21,00
