Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;E26001495;12/01/2026;8:36;083416;;CURVA 90º HH 18 PRESS INOX;CURVA 90º HH 18 PRESS INOX;;;4,000;4,00;8,3900;62,00;12,75;21,00
No;Almacén 16;E26001495;12/01/2026;8:36;083510;;UNIÓN MACHO 18*1/2 PRESS INOX;UNIÓN MACHO 18*1/2 PRESS INOX;;;2,000;2,00;10,8700;62,00;8,26;21,00
No;Almacén 16;E26001495;12/01/2026;8:36;083651;;M.L TUBO A. INOX. 18'0.7 AISI 316;M.L TUBO A. INOX. 18'0.7 AISI 316;;;5,000;5,00;2,5200;0,00;12,60;21,00
No;Almacén 16;E26006388;02/02/2026;8:45;109915;;ANALIZADOR DUREZA 307601 ATH;ANALIZADOR DUREZA 307601 ATH;;;1,000;1,00;28,1000;46,00;15,17;21,00
No;Almacén 16;E26006693;03/02/2026;13:52;189538;;UNIDAD EXTERIOR AQUAREA WH-UDZ12KE5 PANASONIC;JESÚS MORALES BUSTOS;;;1,000;1,00;4.174,0000;50,00;2.087,00;21,00
No;Almacén 16;E26006693;03/02/2026;13:52;189539;;UNIDAD INTERIOR AQUAREA WH-ADC0912K6E5 PANASONIC;JESÚS MORALES BUSTOS;;;1,000;1,00;5.680,0000;50,00;2.840,00;21,00
No;Almacén 16;E26006832;03/02/2026;18:01;125694;;RELLENO GRIETAS BLANCO 98675 FISCHER;ALMACÉN;;;4,000;4,00;2,6000;22,00;8,11;21,00
No;Almacén 16;E26006832;03/02/2026;18:01;090771;;LITEPLAST 750 ML 66357 QUILOSA;ALMACÉN;;;1,000;1,00;10,6200;35,00;6,90;21,00
No;Almacén 16;E26006832;03/02/2026;18:01;000621;;ESPATULA 21000600 60MM/NYLON BAHCO;ALMACÉN;;;1,000;1,00;4,3878;35,00;2,85;21,00
No;Almacén 16;E26006836;03/02/2026;8:48;168793;;PRESTAMO MÁQUINA PRESS Nº 62946 REMS;PRESTAMO MÁQUINA PRESS Nº 62946 REMS;;;-1,000;-1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;E26006836;03/02/2026;8:48;168758;;PRESTAMO TENAZA PRENSAR 18 KPS FILTUBE;PRESTAMO TENAZA PRENSAR 18 KPS FILTUBE;;;-1,000;-1,00;0,0000;0,00;0,00;21,00
