Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;1716;04/02/2026;15:40;DOG205-180C;;ALICATE UNIVERSAL CRV 180MM;PITU;;;1,000;1,00;22,7800;35,00;14,81;21,00
No;Almacén 16;1716;04/02/2026;15:40;DOG917-225;;PISTOLA SILICONA EXTREME 4000N DOGHER;PECO;;;1,000;1,00;31,9620;35,00;20,78;21,00
No;Almacén 16;1716;04/02/2026;15:40;071744;;PUNTA ATORN.EXAG 5.0MM;PECO;;;5,000;5,00;1,8000;35,00;5,85;21,00
