Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;19957464;02/01/2026;16:28;TF01444;18/11/2020;ROLLO 25 M. COBRE 1/2'X0,8 AISLADO SPLIT C.L.D.;FRANCISCO PORCUNA (ARJONA);;;1,000;1,00;95,0800;0,00;95,08;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04293;;BOTE COLA 500 CM3. CON TAPÓN PINCEL;FRANCISCO POCRUNA (ARJONA);;;1,000;1,00;14,5400;35,00;9,45;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04243;;CODO PVC 45D 25;FRANCISCO PORCUNA (ARJONA);;;4,000;4,00;1,9300;35,00;5,02;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04223;;CASQUILLO REDUCT;FRANCISCO PORCUNA (ARJONA);;;1,000;1,00;1,4000;35,00;0,91;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04224;;CASQUILLO REDUCTOR;FRANCISCO POCRUNA (ARJONA);;;1,000;1,00;2,0300;35,00;1,32;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04222;;CASQUILLO REDUCTOR;FRANCISCO PORCUNA (ARJONA);;;1,000;1,00;1,3000;35,00;0,85;21,00
No;Almacén 16;19957464;02/01/2026;16:28;AS04213;;MANGUITO UNIÓN PVC DIAM. 25;FRANCISCO PORCUNA (ARJONA);;;1,000;1,00;1,2600;35,00;0,82;21,00
No;Almacén 16;19955870;31/12/2025;12:19;EM05345;;MANGUERA NEGRA VV-K 0.6/1KV 4G1,5 100M CUMPLE CPR;FRANCISCO PORCUNA;;;1,000;1,00;140,0000;0,00;140,00;21,00
No;Almacén 12;19955870;31/12/2025;12:19;HF07305;;BOLSA 500 GR. VARILLA SOLDADURA MRA-5;FRANCISCO PORCUNA;;;1,000;1,00;76,3100;0,00;76,31;21,00
No;Almacén 16;;15/01/2026;11:47;AS04051;;CODO DESAGUE JUNTA Y 2 TAPONES DIAM.19;CODO DESAGUE JUNTA Y 2 TAPONES DIAM.19;;;1,000;1,00;5,5600;35,00;3,61;21,00
No;Almacén 16;;15/01/2026;11:47;AS04055;;CODO DESAGUE D.32 Y 2 TAPONES;CODO DESAGUE D.32 Y 2 TAPONES;;;1,000;1,00;5,1000;35,00;3,32;21,00
No;Almacén 16;;15/01/2026;11:47;CO14652;;TERMOSTATO DIGITAL DE SUPERFICIE MUNDOCONTROL FN-42;TERMOSTATO DIGITAL DE SUPERFICIE MUNDOCONTROL FN-42;;;3,000;3,00;114,0000;35,00;222,30;21,00
No;Almacén 16;;15/01/2026;11:47;AS02212;;BOLSA BÁSICA AMORTIGUACIÓN TIPO B4 CON 4 ANTIVIBRADORES;BOLSA BÁSICA AMORTIGUACIÓN TIPO B4 CON 4 ANTIVIBRADORES;;;4,000;4,00;1,3000;0,00;5,20;21,00
No;Almacén 16;;15/01/2026;11:47;AS01058;18/11/2020;JUEGO SOPORTES ECO LONG.450 MEDIANO;JUEGO SOPORTES ECO LONG.450 MEDIANO;;;2,000;2,00;8,3000;0,00;16,60;21,00
No;Almacén 16;;15/01/2026;11:47;...;...;...;JUEGO SOPORTES ECO LONG.500 GRANDE;;;2,000;2,00;8,8000;0,00;17,60;21,00
No;Almacén 16;;15/01/2026;11:47;...;...;...;MANGUERA BLANCA H05VV-F 3G2,5 100M CUMPLE CPR;;;1,000;1,00;120,0000;0,00;120,00;21,00
