Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;1/564;04/02/2026;16:16;;;GROWATT SHINE WI-LAN X2;ALMACÉN;;;10,000;10,00;19,0000;0,00;190,00;21,00
No;Almacén 16;1/564;04/02/2026;16:16;SMART METTER MON.SING.PHASE;;SMART METER GROWATT MONOFÁSICO SINGLE (INC.CABLE);ALMACÉN;;;10,000;10,00;76,0000;0,00;760,00;21,00
No;Almacén 16;1/564;04/02/2026;16:16;6241;;PORTES;PORTES;;;1,000;1,00;4,7500;0,00;4,75;21,00
