Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;AM/2602785;03/02/2026;15:37;3820 010;;MANÓMETRO RADIAL D.53 0-10B;MANÓMETRO RADIAL D.53 0-10B;;;1,000;1,00;4,8500;54,00;2,23;21,00
No;Almacén 16;AM/2602785;03/02/2026;15:37;6111C1;;MEZCLADOR TERMOSTÁTICO 1';MEZCLADOR TERMOSTÁTICO 1';;;1,000;1,00;84,0000;44,00;47,04;21,00
No;Almacén 16;AM/2602785;03/02/2026;15:37;535050;;VÁLVULA REDUCTORA PRESIÓN 3/4 C/RACORES C/MANOMETRO CALEFFI;VÁLVULA REDUCTORA PRESIÓN 3/4 C/RACORES C/MANOMETRO CALEFFI;;;1,000;1,00;145,8000;54,00;67,07;21,00
No;Almacén 16;AM/2603053;06/02/2026;13:45;MULPTHKRC2X12;;ENLACE ROSCA MACHO 20X1/2 MULTICAPA;PABLO MARTÍNEZ;;;4,000;4,00;6,2400;77,00;5,74;21,00
No;Almacén 16;AM/2603053;06/02/2026;13:45;EHCUCO1812;;ENLACE ROSCA HEMBRA COMP. COBRE/INOX 18X1/2 ISOLTUBEX;PABLO MARTÍNEZ;;;4,000;4,00;2,5900;50,00;5,18;21,00
No;Almacén 16;AM/2603053;06/02/2026;13:45;MULPTB2020025;;ROLLO 25M MULTICAPA PERT/AL/PERT 20X2 BLANSOL;PABLO MARTÍNEZ;;;1,000;1,00;40,2500;54,00;18,52;21,00
No;Almacén 16;AM/2603133;06/02/2026;17:07;2055959;;HILO TEFLÓN TANGIT UNILOCK;NICOLÁS. CALLE PERPETUO SOCORRO;;;1,000;1,00;22,3500;54,00;10,28;21,00
No;Almacén 16;AM/2603133;06/02/2026;17:07;MULPTHKRH2X12;;ENLACE ROSCA HEMBRA 20X1/2 MULTICAPA;NICOLÁS. CALLE PERPETUO SOCORRO;;;2,000;2,00;6,2400;77,00;2,87;21,00
No;Almacén 16;AM/2603133;06/02/2026;17:07;MULPTHKC2X;;CODO 20 MULTICAPA;NICOLÁS. CALLE PERPETUO SOCORRO;;;4,000;4,00;8,4500;77,00;7,77;21,00
No;Almacén 16;AM/2603133;06/02/2026;17:07;MULPTHKMU2X;;MANGUITO UNIÓN 20ML MULTICAPA;NICOLÁS. CALLE PERPETUO SOCORRO;;;2,000;2,00;6,5200;77,00;3,00;21,00
No;Almacén 16;AM/2603133;06/02/2026;17:07;3227;;RED C/HEX 1'-3/4;NICOLÁS. CALLE PERPETUO SOCORRO;;;2,000;2,00;1,9500;54,00;1,79;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;9093;;BOMBA CALEFACCION HEF 25/60-130 II 230V CLASE A;JESÚS MORALES BUSTOS. LA YEDRA;;;1,000;1,00;83,0000;0,00;83,00;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;763603;;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25 ROJA;JESÚS MORALES BUSTOS- LA YEDRA;;;4,000;4,00;5,3500;54,00;9,84;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;GSSV34;;GRUPO DE SEGURIDAD PARA SOLAR;JESÚS MORALES BUSTOS - LA YEDRA;;;1,000;1,00;36,8000;38,00;22,82;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;3406;;TAPÓN R MAC LATÓN 1.1/4 S/C;JESÚS MORALES BUSTOS -  LA YEDRA;;;2,000;2,00;3,7500;54,00;3,45;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;3403E;;TAPÓN R MAC LATÓN 1/2 S/C;JESÚS MORALES BUSTOS - LA YEDRA;;;4,000;4,00;1,0500;54,00;1,93;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;...;...;...;JESÚS MORALES BUSTOS - LA YEDRA;;;1,000;1,00;5,6200;41,00;3,32;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;...;...;...;JESÚS MORALES BUSTOS - LA YEDRA;;;10,000;10,00;0,5500;54,00;2,53;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;...;...;...;JESÚS MORALES BUSTOS - LA YEDRA;;;1,000;1,00;528,0000;38,00;327,36;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;3031;;MACHON RED 1 1/4 - 1 LATON;JESÚS MORALES BUSTOS -  LA YEDRA;;;4,000;4,00;5,7500;54,00;10,58;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;3545E;;CODO LATÓN M-H 1';JESÚS MORALES BUSTOS - LA YEDRA;;;4,000;4,00;5,7500;54,00;10,58;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;...;...;...;JESÚS MORALES BUSTOS -  LA YEDRA;;;6,000;6,00;14,0500;54,00;38,78;21,00
No;Almacén 16;AM/2603145;06/02/2026;17:16;MULPTHKRC321;;ENLACE ROSCA MACHO 32X1 MULTICAPA;JESÚS MORALES BUSTOS - LA YEDRA;;;4,000;4,00;14,9100;77,00;13,72;21,00
