Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;;30/01/2026;13:47;CABLE KIT;;CABLE KIT  (PYLONTECH);CABLE KIT  (PYLONTECH);;;5,000;5,00;13,9500;0,00;69,75;21,00
No;Almacén 16;610100201;16/01/2026;16:40;GR-WIT1000-HU;;INVERSOR HÍBRIDO TRIFÁSICO 10 KW WIT 10K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍA DE BAJO VOLTAJE;INVERSOR HÍBRIDO TRIFÁSICO 10 KW WIT 10K HU CON BACKUP INCORPORADO Y PREPARADO PARA BATERÍA DE BAJO VOLTAJE;;;1,000;1,00;1.284,0000;0,00;1.284,00;21,00
No;Almacén 16;610100393;27/01/2026;13:34;GR-SPE 10000ES;;INVERSOR HÍBRIDO MONOFÁSICO GROWATT SPE 10000ES 10.000W BATERÍAS DE BAJP VOLTAJE Y BACKUP INCORPORADO;INVERSOR HÍBRIDO MONOFÁSICO GROWATT SPE 10000ES 10.000W BATERÍAS DE BAJP VOLTAJE Y BACKUP INCORPORADO;;;2,000;2,00;835,0000;0,00;1.670,00;21,00
No;Almacén 16;;30/01/2026;13:47;GR-SPE 10000ES;;INVERSOR HÍBRIDO MONOFÁSICO GROWATT SPE 10000ES 10.000W BATERÍAS DE BAJP VOLTAJE Y BACKUP INCORPORADO;INVERSOR HÍBRIDO MONOFÁSICO GROWATT SPE 10000ES 10.000W BATERÍAS DE BAJP VOLTAJE Y BACKUP INCORPORADO;;;1,000;1,00;835,0000;0,00;835,00;21,00
