factura_numero,ref,descripcion,cantidad,precio,descuento,importe
34,6292,CHAQUETA SOFTSHELL HORIZON TALLA XXL NEGRO,9.0,24.3,0.0,218.7
Líneas de factura de compra,COPM6CE,COLECTOR PLÁSTICO 6 CIRCUITOS C/EUROCONOS 16X3/4,1.0,435.88,50.0,217.94
35,00580917,ENVASE NITRÓGENO 7 L,1.0,209.24,0.0,209.24
50,$0956MT,"NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28",240.0,1.67,50.0,200.4
34,6292,"CHAQUETA SOFTSHELL HORIZON TALLA M NEGRO. SE PIDIERON 8, VINIVERON 7. REPUESTA LA QUE FALTABA",8.0,24.3,0.0,194.4
50,$0956AR,"NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28",1.0,194.02,0.0,194.02
28,2000033,GUÍA PERFORADA GALVANIZADA 27X18X2000,57.0,6.76,50.0,192.66
Líneas de factura de compra3,68865,ANTONIO MOLERO,1.0,320.0,40.0,192.0
Líneas de factura de compra,COPM5CE/5,FRANCISCO PORCUNA,1.0,389.16,51.0,190.6884
46,REF_AUTO_5DD3BC,ALMACÉN,10.0,19.0,0.0,190.0
75,00654,SERGIO VALDERRAMA,1.0,173.8,0.0,173.8
Líneas de factura de compra,COPM4CE,COLECTOR PLÁSTICO 4 CIRCUITOS C/EUROCONOS 16X3/4,1.0,338.21,50.0,169.105
13,CENTRAL NL,PRESOR CENTRAL LACADO NEGRO CON MUELLE,200.0,0.84,0.0,168.0
61,CENTRAL NL,ALMACÉN,200.0,0.84,0.0,168.0
28,13700110,CARRIL GALVA 20X10 2MT,85.0,3.9499,50.0,167.87075
35,00580659,EQUIPO PRUEBA NITRÓGENO 50BAR CPN503A,1.0,349.0,52.12,167.1012
34,6292,SUDADERA CLÁSICA TALLA L NEGRO,10.0,16.27,0.0,162.7
34,6292,SUDADERA CLÁSICA TALLA XL NEGRO,10.0,16.27,0.0,162.7
13,LATERAL NL,PRESOR LATERAL LACADO NEGRO,150.0,1.04,0.0,156.0
13,CRUCETA 25,PERFIL 25X25X2 PARA CRUCETA 1.70M,50.0,3.12,0.0,156.0
61,LATERAL NL,ALMACÉN,150.0,1.04,0.0,156.0
9,10291020,ALMACÉN,40.0,3.85,0.0,154.0
34,6292,"SUDADERA CLÁSICA TALLA XXL NEGRO. SE PIDIERON 9 , VINIVERON 8 Y SE REPUSO LA QUE FALTABA",9.0,16.27,0.0,146.43
38,TF01448,BI NATURA (GRANADA),1.0,140.91,0.0,140.91
8,EM05345,FRANCISCO PORCUNA,1.0,140.0,0.0,140.0
68,140921,ANASTASIO (FUENTE TÓJAR),3.0,46.2,0.0,138.60000000000002
69,140921,ANASTASIO (FUENTE TÓJAR),3.0,46.2,0.0,138.60000000000002
75,SMARTMETER,UNIDAD ESTANCIA DIURNA,1.0,135.0,0.0,135.0
72,0912513085/990,ALMACÉN,150.0,2.0952,58.0,131.99760000000003
75,REV T20825G6,BLINDADO ENCHUFABLE 25 GRIS,228.0,0.57,0.0,129.95999999999998
38,AS03254,BI NATURA (GRANADA),12.0,21.05,50.0,126.3
56,VES 212310,DK6000 U/UTP DCA CU 24AWG LSFH BLA 605M . JUANJO,305.0,0.82,50.0,125.05
Líneas de factura de compra,SRADACCMP6090,FRANCISCO PORCUNA,2.0,242.88,75.0,121.44
50,SCH5006854,"NICOLÁS CONSTRUCTOR -  CALLE PERPETUO SOCORRO, 28",1.0,240.63,50.0,120.315
8,REF_AUTO_2F43B4,"MANGUERA BLANCA H05VV-F 3G2,5 100M CUMPLE CPR",1.0,120.0,0.0,120.0
Líneas de factura de compra2,02779-1.5S,VALVULA TERMOSTATICA ACS NUMERADA,1.0,207.0,43.0,117.99
68,140952,JOSE ANTONO PÉREZ MELENDO,1.0,117.205,0.0,117.205
69,140952,JOSE ANTONO PÉREZ MELENDO,1.0,117.205,0.0,117.205
7,861251,TERMO ELECTRICO DELTA 100V,1.0,251.45,54.0,115.667
64,REF_AUTO_2F43B4,ANASTASIO (FUENTE TÓJAR),12.0,20.75,54.0,114.54
Líneas de factura de compra,FAPM 32/12,JUAN CARLOS MORALES (VALORAR),1.0,184.0,38.0,114.08
68,136447,ANASTSIO ( FUENTE TÓJAR),11.0,10.3224,0.0,113.5464
69,136447,ANASTSIO ( FUENTE TÓJAR),11.0,10.3224,0.0,113.5464
68,140951,JOSE ANTONIO PÉREZ MELENDO,1.0,109.733,0.0,109.733
68,140951,JOSE ANTONIO PÉREZ MELENDO,1.0,109.733,0.0,109.733
69,140951,JOSE ANTONIO PÉREZ MELENDO,1.0,109.733,0.0,109.733
69,140951,JOSE ANTONIO PÉREZ MELENDO,1.0,109.733,0.0,109.733
68,140922,ANASTASIO (FUENTE TÓJAR),2.0,53.9,0.0,107.8
69,140922,ANASTASIO (FUENTE TÓJAR),2.0,53.9,0.0,107.8
68,094221,TERMO ELÉCTRICO 100 LT. 3201345 SIMAT,1.0,107.677,0.0,107.677
69,094221,TERMO ELÉCTRICO 100 LT. 3201345 SIMAT,1.0,107.677,0.0,107.677
27,164328,Mª JOSÉ (GRANADA),1.0,104.8195,0.0,104.8195
45,055840,RECTANGLAR 80X40X2 GALV,1.0,102.0,0.0,102.0
68,140950,JOSE ANTONIO PÉREZ MELENDO,1.0,99.99,0.0,99.99
69,140950,JOSE ANTONIO PÉREZ MELENDO,1.0,99.99,0.0,99.99
44,185174,LINEA DE VIDA HORIZON,1.0,99.5,0.0,99.5
20,6291,"6 BOLÍGRAFOS PILOT, 2 TIPPEX, 1 CAJA DE CLIPS N2, 4 CAJAS DE FOLIOS 500H 80GR",1.0,97.34,0.0,97.34
8,TF01444,FRANCISCO PORCUNA (ARJONA),1.0,95.08,0.0,95.08
Líneas de factura de compra,MULPPT3230004,FRANCISCO PORCUNA (ARJONA),10.0,20.55,54.0,94.53
64,9093,FUENTE TÓJAR,1.0,199.8,54.0,91.908
76,GR-THREE PHASE METER 80A,FRANCISCO ZAPATA,1.0,90.0,0.0,90.0
68,140949,JOSE ANTONIO PÉREZ MELENDO,1.0,87.7943,0.0,87.7943
68,140949,JOSE ANTONIO PÉREZ MELENDO,1.0,87.7943,0.0,87.7943
69,140949,JOSE ANTONIO PÉREZ MELENDO,1.0,87.7943,0.0,87.7943
69,140949,JOSE ANTONIO PÉREZ MELENDO,1.0,87.7943,0.0,87.7943
74,6292,ZAPATOS HECTOR LÓPEZ RAMÍREZ,1.0,85.07,0.0,85.07
68,140926,ANASTASIO (FUENTE TÓJAR),1.0,84.7,0.0,84.7
69,140926,ANASTASIO (FUENTE TÓJAR),1.0,84.7,0.0,84.7
67,MA15773,JAVI C,1.0,129.3,35.0,84.04500000000002
68,140945,RADIADOR EUROPA E800 DE 4 ELEMENTOS FERROLI,2.0,41.9826,0.0,83.9652
69,140945,RADIADOR EUROPA E800 DE 4 ELEMENTOS FERROLI,2.0,41.9826,0.0,83.9652
32,REF_AUTO_2F43B4,ANTONIO AGUAYO (MARTOS),1.0,83.0,0.0,83.0
47,DESFANGADOR-38676,LA YEDRA,1.0,166.0,50.0,83.0
52,9093,JESÚS MORALES BUSTOS. LA YEDRA,1.0,83.0,0.0,83.0
32,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),0.7,117.9,0.0,82.53
34,6292,"SUDADERA CLASICA TALLA S NEGRO. SE PIDIERON 5, VINIVERON 4 Y SE REPUSO LA QUE FALTABA",5.0,16.27,0.0,81.35
34,6292,SUDADERA CLASICA TALLA M NEGRO,5.0,16.27,0.0,81.35
74,6292,LOGOS ESCUDO BORADAO VITRON ENERGY,40.0,2.0,0.0,80.0
71,AUTOR CONICA/1,ALMACÉN,500.0,0.1588,0.0,79.39999999999999
32,REF_AUTO_2F43B4,Mª JOSÉ (GRANADA),1.0,172.55,54.0,79.373
74,6292,BOTA STEGO ESD S3 SR  NÚMERO 40 - HÉCTOR LÓPEZ,1.0,79.31,0.0,79.31
38,TFO1443,BI NATURA (GRANADA),1.0,77.92,0.0,77.92
