Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;BVJA26-00829;21/01/2026;17:07;13700110;;CARRIL GALVA 20X10 2MT;CARRIL GALVA 20X10 2MT;;;85,000;85,00;3,9499;50,00;167,87;21,00
No;Almacén 12;BVJA26-00829;21/01/2026;17:07;2000033;;GUÍA PERFORADA GALVANIZADA 27X18X2000;GUÍA PERFORADA GALVANIZADA 27X18X2000;;;57,000;57,00;6,7600;50,00;192,66;21,00
No;Almacén 16;BVJA26-01166;28/01/2026;14:09;7808438;;CALD CUBIC CONDENS 24/24F;CALD CUBIC CONDENS 24/24F;;;1,000;1,00;640,0000;0,00;640,00;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;1018100;;MTR TUBO COBRE RÍGIDO 18X1 MM;RETIRADO EN ALMACÉN;;;2,000;2,00;13,3200;50,00;13,32;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;1022100;;MTR TUBO COBRE RÍGIDO 22X1 MM;RETIRADO EN ALMACÉN;;;2,000;2,00;16,4300;50,00;16,43;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;TCDMH50100;;TUBO 500 MH COAXIALCOND 60/100;RETIRADO EN TIENDA;;;1,000;1,00;21,4100;50,00;10,71;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0209022CU;;CODO 90 CU 22;RETIRADO EN TIENDA;;;10,000;10,00;1,2200;50,00;6,10;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0209018;;CODO 90 CU 18;RETIRADO EN TIENDA;;;10,000;10,00;0,9400;50,00;4,70;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0335945;;RACORD 359 L H 22-3/4;RETIRADO EN TIENDA;;;4,000;4,00;2,4500;50,00;4,90;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0335945;;RACORD 359 L H 22-3/4;RETIRADO TIENDA;;;2,000;2,00;2,4500;50,00;2,45;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0335816;;RACORD 359 C/CUELLO H 18-1/2;RETIRADO EN TIENDA;;;2,000;2,00;1,8195;50,00;1,82;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0335934;;RACAODR 359 L H 18-1/2;RETIRADO EN TIENDA;;;2,000;2,00;1,8100;50,00;1,81;21,00
No;Almacén 16;BVJA26-01191;28/01/2026;17:37;0335935;;RACORD 359 L H 18-3/4;RETIRADO EN TIENDA;;;2,000;2,00;2,1700;50,00;2,17;21,00
No;Almacén 16;;31/01/2026;12:12;2006240;;GOMA DESAGÜE LAVADORA 2 MTS;GOMA DESAGÜE LAVADORA 2 MTS;;;1,000;1,00;3,2400;50,00;1,62;21,00
