Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;A/121;24/02/2026;16:13;T.ABIERTO 30;;TRIANGULO ABIERTO INCLINACIÓN 30º;ALMACÉN;;;20,000;20,00;17,9100;0,00;358,20;21,00
No;Almacén 16;A/121;24/02/2026;16:13;SOPORTE METALICA;;SOPORTE CUBIERTA METÁLICA;ALMACÉN;;;300,000;300,00;1,5600;0,00;468,00;21,00
No;Almacén 16;A/121;24/02/2026;16:13;CENTRAL NL;;PRESOR CENTRAL LACADO NEGRO CON MUELLE;ALMACÉN;;;200,000;200,00;0,8400;0,00;168,00;21,00
No;Almacén 16;A/121;24/02/2026;16:13;LATERAL NL;;PRESOR LATERAL LACADO NEGRO;ALMACÉN;;;150,000;150,00;1,0400;0,00;156,00;21,00
