Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;VAL26-03386;04/03/2026;10:53;AIKO610;;MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4;MODULO FV AIKO 610WP COMET 1N GEN SF 144 CELULAS MC4;;;6,000;6,00;73,2000;0,00;439,20;21,00
No;Almacén 16;VAL26-03386;04/03/2026;10:53;BET07958;;LATIGUILLO CABLE EXTENSION 01C 140MM AIKO 610 WP;LATIGUILLO CABLE EXTENSION 01C 140MM AIKO 610 WP;;;6,000;6,00;1,0000;100,00;0,00;21,00
No;Almacén 16;;04/03/2026;16:41;6241;;PORTES;PORTES;;;1,000;1,00;35,0000;0,00;35,00;21,00
