Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;035_637572;05/02/2026;11:53;LEG 403630;;MAGNETOTÉRMICO TX3 6KA C 4P 40A;MANUEL PEINADO;;;1,000;1,00;39,3100;0,00;39,31;21,00
No;Almacén 16;;15/02/2026;12:12;VES 212310;;DK6000 U/UTP DCA CU 24AWG LSFH BLA 605M;DK6000 U/UTP DCA CU 24AWG LSFH BLA 605M . JUANJO;;;305,000;305,00;0,8200;50,00;125,05;21,00
No;Almacén 16;;15/02/2026;12:12;CEI 46016000;;GEL LUBRICANTE DUPLOGEL INTRODUCIR1000;GEL LUBRICANTE DUPLOGEL INTRODUCIR1000 . JUANJO;;;1,000;1,00;9,4500;0,00;9,45;21,00
