Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;9105497895;09/01/2026;17:19;095998 V;;VARILLA ROSCADA DIN 976-1 8.8 GALV. M8 X 1000;ALMACÉN;;;50,000;50,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497892;09/01/2026;17:21;0985600920-990;;CINTA AISLANTE BLANCA 19X0,15X25M;ALMACÉN;;;10,000;10,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497892;09/01/2026;17:21;0912300121;;MORTERO DE INYECCIÓN BLACK-SF 300ML;ALMACÉN;;;15,000;15,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;0214763359;;TORNILLO PERFORADOR CAB. HEX. SEBs, ARAND. SELLADO, GALV., 10 AF, 6,3 X 35;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;04118/30/900;;ARANDELA PARA CARROCERÍA, TOLERANCIA DIN 522-A GALV.8.4X30X1.5;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;0502345280  900;;BRIDAS PA 6.6 NEGRAS RESIS.V 4.5X280MM;ALMACÉN;;;1.000,000;1.000,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;090696/37/900;;ANCLAJE MULTIUSO RECA 6X36 BLANCO;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;08985112/900;;UNIÓN Y SELLADO S 78 MS GRIS;ALMACÉN;;;24,000;24,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105497894;09/01/2026;17:24;03178;;TUERCA HEXAGONAL, DIN 934, CLASE DE RESISTENCIA 8, GALV, 13 AF, M8;ALMACÉN;;;1.000,000;1.000,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105521797;16/01/2026;17:03;0502245280/900;;BRIDA CIERRE DE PLÁSTICO NEGRA 4.5X280 RECA-HARDWERK;ALMACÉN;;;1.500,000;1.500,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105521797;16/01/2026;17:03;0972010107;;FLEJE ACERO PERFORADO 17X0;ALMACÉN;;;6,000;6,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105521797;16/01/2026;17:03;0556002025;;REGLETA DE CONEXIÓN 25MM2 NEGRA;ALMACÉN;;;10,000;10,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105521797;16/01/2026;17:03;08985111;;UNIÓN Y SELLADO BLANCO;ALMACÉN;;;12,000;12,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105524573;19/01/2026;16:47;09740825;;CASQUILLOS ESPACIADORES, REDONDOS, GALVANIZADOS, M8 X 25;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105524573;19/01/2026;16:47;0985630019/9000;;CINTA AISLANTE AUTOVULCANIZANTE NEGRA 19MM X10M;ALMACÉN;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105524573;19/01/2026;16:47;...;...;...;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105524573;19/01/2026;16:47;...;...;...;ALMACÉN;;;300,000;300,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105524573;19/01/2026;16:47;...;...;...;ALMACÉN;;;5,000;5,00;0,0000;0,00;0,00;21,00
No;Almacén 16;...;19/01/2026;17:01;0502502001/990;;RECA-TACO BRIDAD BLANCO D8;ALMACÉN;;;500,000;500,00;0,0000;0,00;0,00;21,00
No;Almacén 16;...;26/01/2026;15:58;0985600910/990;;CINTA AISL. NEGRA 19X0, 15X25M;ALMACÉN;;;10,000;10,00;0,0000;0,00;0,00;21,00
No;;8105550600;26/01/2026;15:58;;;;;;;1,000;1,00;0,0000;0,00;0,00;0,00
No;Almacén 16;...;26/01/2026;17:26;0214763359;;TORNILLO PERFORADOR CAB. HEX. SEBs, ARAND. SELLADO, GALV., 10 AF, 6,3 X 35;ALMACÉN;;;400,000;400,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105550611;26/01/2026;17:26;...;...;...;ALMACÉN;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;8105550611;26/01/2026;17:26;...;...;...;ALMACÉN;;;100,000;100,00;0,0000;0,00;0,00;21,00
No;Almacén 16;...;30/01/2026;17:02;0502345280  900;;BRIDAS PA 6.6 NEGRAS RESIS.V 4.5X280MM;ALMACÉN;;;1.500,000;1.500,00;0,0000;0,00;0,00;21,00
No;Almacén 16;;31/01/2026;12:08;602;;OTROS APROVISIONAMIENTOS;COMPRA FERRETERIA MES FEBRERO;;;1,000;1,00;899,7700;0,00;899,77;21,00
