Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;602200034;08/01/2026;17:20;SGIKD10838;;CLIMAVER PLUS R 360 2.4 S/C 25*2400*1190;CELE;;;2,850;2,85;12,7500;0,00;36,34;21,00
No;Almacén 16;602200034;08/01/2026;17:20;100202/1;;CINTA ALUMINIO 72MM 45M 30 MICRAS;CELE;;;2,000;2,00;6,8100;40,00;8,17;21,00
No;Almacén 16;602200038;08/01/2026;17:22;MA 0330X30;;DMT-AR M9016 (300 300);CELE;;;1,000;1,00;26,6000;40,00;15,96;21,00
No;Almacén 16;602200053;09/01/2026;17:18;MA 0330X30;;DMT-AR M9016 (300 300);OSCAR TORREDONJIMENO;;;1,000;1,00;26,6000;40,00;15,96;21,00
No;Almacén 16;602200053;09/01/2026;17:18;MA.203300;17/11/2020;TIRAS CM 300;OSCAR TORREDONJIMENO;;;4,000;4,00;0,9100;40,00;2,18;21,00
