Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;035_638265;17/02/2026;15:54;LEG 411525;;DIFERENCIAL DX3 2/40/300 AC;DIFERENCIAL DX3 2/40/300 AC;;;6,000;6,00;38,8900;0,00;233,34;21,00
No;Almacén 16;035_638265;17/02/2026;15:54;REV T20825G6;;BLINDADO ENCHUFABLE 25 GRIS;BLINDADO ENCHUFABLE 25 GRIS;;;228,000;228,00;0,5700;0,00;129,96;21,00
No;Almacén 16;035_638276;17/02/2026;15:47;VTR PMP482506000;;MULTIPLUS - II 48/5000/70-50-GX;MULTIPLUS - II 48/5000/70-50-GX;;;2,000;2,00;670,0000;0,00;1.340,00;21,00
No;Almacén 16;035_638334;18/02/2026;15:25;00654;;CERBO GX;SERGIO VALDERRAMA;;;1,000;1,00;173,8000;0,00;173,80;21,00
No;Almacén 16;035_638334;18/02/2026;15:25;VTR SCC125085411;;SMARTSOLAR MPPT 250/85-TR VE CAN;SERGIO VALDERRAMA;;;1,000;1,00;384,0000;0,00;384,00;21,00
No;Almacén 16;035_638334;18/02/2026;15:25;UNX 2233-0;;22 BRIDA PAR USO EXTERIOR NEGRO 3.6X142 U61X;ALMACÉN;;;100,000;100,00;0,0430;42,00;2,49;21,00
No;Almacén 16;035_638370;18/02/2026;15:36;05086;;MPPT SMARTSOLAR SIN DISPLAY 250/70 Tr;SERGIO VALDERRAMA;;;1,000;1,00;330,0000;0,00;330,00;21,00
No;Almacén 16;035_638423;19/02/2026;15:34;SMARTMETER;;SMART METER GROWATT TRIFÁSICO 630 CT-E (3 und. 250A);UNIDAD ESTANCIA DIURNA;;;1,000;1,00;135,0000;0,00;135,00;21,00
No;Almacén 16;035_638772;25/02/2026;12:03;SOL 6625;;CAJA. MEC. EMPOT. P. ELEMT.UNIVERSAL ENLAZABLE.CERTIFICADO AENOR.DIM.P.EMPOT 65X65X40;JAVI C;;;5,000;5,00;0,1700;0,00;0,85;21,00
No;Almacén 16;035_638772;25/02/2026;12:03;TUP 07600020;;CORRUGADO 20 GRIS;JAVI C;;;100,000;100,00;0,1250;0,00;12,50;21,00
No;Almacén 16;035_638264;17/02/2026;15:50;PIR20451154;;PRYSOLAR E-SENS H1ZZZZ-K 1X6 BK 1.5KV;PRYSOLAR E-SENS H1ZZZZ-K 1X6 BK 1.5KV;;;510,000;510,00;0,8190;0,00;417,69;21,00
No;Almacén 16;035_638264;17/02/2026;15:50;PIR20451155;;PRYSOLAR E-SENS H1ZZZ-K 1X6 RD. 1.5KV (ROLLO4626340) (PIR821AFCH);PRYSOLAR E-SENS H1ZZZ-K 1X6 RD. 1.5KV (ROLLO4626340) (PIR821AFCH);;;510,000;510,00;0,8190;0,00;417,69;21,00
No;Almacén 16;035_638773;25/02/2026;12:10;MIG 82040101-508208;;AFIRENAS-L H07Z1-K DE 1,5 AZUL R.200;JAVI C - ALMACÉN;;;200,000;200,00;0,1986;0,00;39,72;21,00
No;Almacén 16;035_638773;25/02/2026;12:10;MIG 82040101-509208;;AFIRENAS-L H07Z1-K DE 1,5 NEGRO R.200;JAVI C - ALMACÉN;;;200,000;200,00;0,1986;0,00;39,72;21,00
