Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;61010055;08/01/2026;13:32;10291020;;LT. ANTICONGELANTE PARA CIRCUITO DE ENERGÍA SOLAR TÉRMCA. BASE PROPYLENE GLYCOL;ALMACÉN;;;40,000;40,00;3,8500;0,00;154,00;21,00
No;Almacén 16;610100061;08/01/2026;13:34;CABLE KIT;;CABLE KIT  (PYLONTECH);CABLE KIT  (PYLONTECH);;;2,000;2,00;13,9500;0,00;27,90;21,00
No;Almacén 16;640000019;02/01/2026;16:22;UD3000D;;BATERIA LITIO DYNESS B3 3.6KWH 48V;BATERIA LITIO DYNESS B3 3.6KWH 48V;;;2,000;2,00;510,0000;0,00;1.020,00;21,00
No;Almacén 16;;15/01/2026;10:06;CABLE KIT;;CABLE KIT  (PYLONTECH);CABLE KIT  (PYLONTECH);;;4,000;4,00;13,9500;0,00;55,80;21,00
No;Almacén 16;;15/01/2026;10:06;SPE 10KT;;INVERSOR GROWATT SPE 10000 ES;INVERSOR GROWATT SPE 10000 ES;;;1,000;1,00;835,0000;0,00;835,00;21,00
No;Almacén 16;;15/01/2026;10:06;SPF6000-ES-PLUS;;INVERSOR/CARGADOR/REGULADOR GROWATT SPF 48VCC 6000 W Y REGULADOR 500 VCC 2 MPPTS Y INCORPORA WIFI;INVERSOR/CARGADOR/REGULADOR GROWATT SPF 48VCC 6000 W Y REGULADOR 500 VCC 2 MPPTS Y INCORPORA WIFI;;;1,000;1,00;403,5290;0,00;403,53;21,00
No;Almacén 16;;15/01/2026;10:06;GR-MIN 6000TL-XH;;INVERSOR DE CONEXION A RED MONOFASICO GROWATT MIN 6000TL-XH 6000W AC SPS CON OPCION A BATERIAS;INVERSOR DE CONEXION A RED MONOFASICO GROWATT MIN 6000TL-XH 6000W AC SPS CON OPCION A BATERIAS;;;1,000;1,00;505,0000;0,00;505,00;21,00
No;Almacén 16;;15/01/2026;10:06;CABLE KIT;;CABLE KIT  (PYLONTECH);CABLE KIT  (PYLONTECH);;;1,000;1,00;13,9500;0,00;13,95;21,00
