Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;AM/2601082;16/01/2026;10:55;EMCUCO1812;;ENLACE ROSCA MACHO COMP. COBRE/INOX 18X1/2 ISOTUBEX;Mª JOSÉ (GRANADA);;;2,000;2,00;2,8300;50,00;2,83;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;153603;;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25;Mª JOSÉ (GRANADA);;;1,000;1,00;7,7000;54,00;3,54;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;MULPTHKRC2X12;;ENLACE ROSCA MACHO 20X1/2 MULTICAPA;Mª JOSÉ (GRANADA);;;4,000;4,00;5,7800;77,00;5,32;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;MULPTHKRC2X34;;ENLACE ROSCA MACHO 20X3/4 MULTICAPA;Mª JOSÉ GRANADA;;;4,000;4,00;7,0900;77,00;6,52;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3544;;CODO LATÓN 3/4-1/2 LATÓN;Mª JOSÉ (GRANADA);;;3,000;3,00;3,3000;54,00;4,55;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3543 R;;CODO LATON M-H 1/2;Mª JOSÉ (GRANADA);;;3,000;3,00;3,3500;54,00;4,62;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3503E;;TE LATON H-H 1/2;Mª JOSÉ (GRANADA);;;2,000;2,00;3,7000;54,00;3,40;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3005;;MACHÓN DOBLE 3/4 LATÓN;Mª JOSÉ (GRANADA);;;2,000;2,00;2,1000;54,00;1,93;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3004E;;MACHON DOBLE 1/2 LATON;Mª JOSÉ (GRANADA);;;3,000;3,00;1,4000;54,00;1,93;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;3403E;;TAPÓN R MAC LATÓN 1/2 S/C;Mª JOSÉ (GRANADA);;;9,000;9,00;1,0500;54,00;4,35;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;MULPPT2020004;;BARRRA 4M MULTICAPA PERT 20X2;Mª JOSÉ (GRANADA);;;5,000;5,00;7,4000;54,00;17,02;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;MULPPT3230004;;BARRA 4M MULTICAPA PERT 32X3.0;Mª JOSÉ (GRANADA);;;4,000;4,00;20,5500;54,00;37,81;21,00
No;Almacén 16;AM/2601082;16/01/2026;10:55;09020005508;;KFLEX ST 09X020 NEGRA;Mª JOSÉ (GRANADA);;;20,000;20,00;1,3100;64,00;9,43;21,00
No;Almacén 16;AM/2601084;16/01/2026;11:19;DMME25V;;DESFANGADOR MAGNÉTICO DE LATO FILTRO INOX 1';Mª JOSÉ (GRANADA);;;1,000;1,00;89,0000;38,00;55,18;21,00
No;Almacén 16;...;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;172,5500;54,00;79,37;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;MULPTHKRC2X12;;ENLACE ROSCA MACHO 20X1/2 MULTICAPA;Mª JOSÉ (GRANADA);;;4,000;4,00;5,7800;77,00;5,32;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;4,1300;52,00;3,96;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;2,6100;52,00;2,51;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;3503E;;TE LATON H-H 1/2;Mª JOSÉ (GRANADA);;;2,000;2,00;3,7000;54,00;3,40;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;1,1500;54,00;1,06;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;22,3500;54,00;10,28;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;7,7000;54,00;7,08;21,00
No;Almacén 16;AM/2601240;19/01/2026;13:21;153603;;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25;Mª JOSÉ 8GRANADA);;;2,000;2,00;7,7000;54,00;7,08;21,00
No;Almacén 16;...;21/01/2026;12:38;...;...;...;Mª JOSÉ (GRANADA);;;0,700;0,70;117,9000;0,00;82,53;21,00
No;Almacén 16;AM/2601635;21/01/2026;12:38;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;34,1600;0,00;34,16;21,00
No;Almacén 16;AM/2601635;21/01/2026;12:38;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;42,7000;0,00;42,70;21,00
No;Almacén 16;...;22/01/2026;11:50;...;...;...;ANTONIO AGUAYO (MARTOS);;;1,000;1,00;57,0000;54,00;26,22;21,00
No;Almacén 16;...;22/01/2026;12:05;...;...;...;BARRA 4M MULTICAPA 16X2.0 BLANSOL;;;8,000;8,00;5,4000;54,00;19,87;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;4,000;4,00;4,5700;75,00;4,57;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ 8GRANADA);;;16,000;16,00;6,3500;77,00;23,37;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;5,0400;77,00;2,32;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;15,000;15,00;0,5000;54,00;3,45;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;23,4000;54,00;10,76;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;3,000;3,00;4,1000;0,00;12,30;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;3,000;3,00;8,2500;54,00;11,39;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;0,6600;38,00;0,82;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;8,1900;77,00;3,77;21,00
No;Almacén 16;AM/2601721;22/01/2026;12:05;...;...;...;Mª JOSÉ (GRANADA);;;4,000;4,00;7,8200;77,00;7,19;21,00
