Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;5105279130;09/02/2026;12:44;185174;;LINEA DE VIDA HORIZON;LINEA DE VIDA HORIZON;;;1,000;1,00;99,5000;0,00;99,50;21,00
No;Almacén 16;5105279130;09/02/2026;12:44;1007068;;MINI LINTERNA POCKET 1000;MINI LINTERNA POCKET 1000;;;3,000;3,00;25,4500;0,00;76,35;21,00
No;Almacén 16;5105279130;09/02/2026;12:44;343034;;PISTOLA PROFESIONAL 18:1 310ML;PISTOLA PROFESIONAL 18:1 310ML;;;1,000;1,00;0,0100;0,00;0,01;21,00
