Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;E26001380;12/01/2026;10:47;168793;;PRESTAMO MÁQUINA PRESS Nº 62946 REMS;COLEGIO MENGÍBAR;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;E26001380;12/01/2026;10:47;168758;;PRESTAMO TENAZA PRENSAR 18 KPS FILTUBE;COLEGIO MENGÍBAR;;;1,000;1,00;0,0000;0,00;0,00;21,00
No;Almacén 16;E26001380;12/01/2026;10:47;083510;;UNIÓN MACHO 18*1/2 PRESS INOX;COLEGIO MENGÍBAR;;;2,000;2,00;10,8700;62,00;8,26;21,00
No;Almacén 16;E26001380;12/01/2026;10:47;083518;;UNIÓN HEMBRA 18 *1/2 PRESS INOX;COLEGIO MENGÍBAR;;;2,000;2,00;11,8900;62,00;9,04;21,00
No;Almacén 16;E26001380;12/01/2026;10:47;111798;;MANGUITO ELECTROLITICO M-H 1/2 2731200000 HECAPO;COLEGIO MENGÍBAR;;;4,000;4,00;3,1700;56,00;5,58;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;187102;;ACUMULADOR INERCIA 100 INOX 2052370 DEL PASO;Mª JOSÉ (GRANADA);;;1,000;1,00;672,0000;40,00;403,20;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;164328;;BOMBA CIRCULADORA BCC PLUJS 25-60-130 423530 CABEL;Mª JOSÉ (GRANADA);;;1,000;1,00;104,8195;0,00;104,82;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;164355;;JUEGO RACORES BRONCE R 1 (DN25) 423783 CABEL;Mª JOSÉ (GRANADA);;;1,000;1,00;14,8933;0,00;14,89;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;073474;;TERMÓMETRO 0-120º VAINA 5 CM GREEN CALOR;Mª JOSÉ (GRANADA);;;2,000;2,00;9,5400;40,00;11,45;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;136892;;TERMOMETRO VAINA 0-1230ºC 80*100 361801 POTERMIC;Mª JOSÉ (GRANADA);;;2,000;2,00;12,9000;40,00;15,48;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;080086;;SOPORTE KIT VASO EXPANSIÓN 053021 POTERMIC;Mª JOSÉ (GRANADA);;;1,000;1,00;92,3000;40,00;55,38;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;160456;;CODO DOBLE PRESS 32 873035A ARCO;Mª JOSÉ (GRANADA);;;10,000;10,00;12,8800;50,00;64,40;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;162557;;TÉ SALIDA HEMBRA PRESS 32*3/4H*32 874480A;Mª JOSÉ 8GRANADA);;;4,000;4,00;15,5500;50,00;31,10;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;163469;;TÉ REDUCIDA PRESS 32*20*32 874340A ARCO;Mª JOSÉ (GRANADA);;;2,000;2,00;16,9000;50,00;16,90;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ(GRANADA);;;16,000;16,00;7,5700;50,00;60,56;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;4,000;4,00;4,2946;41,00;10,14;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;10,000;10,00;5,2000;50,00;26,00;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ 8GRANADA);;;4,000;4,00;4,7800;50,00;9,56;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;10,000;10,00;4,2200;50,00;21,10;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;10,000;10,00;3,2700;50,00;16,35;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ 8GRANADA);;;2,000;2,00;9,3522;48,00;9,73;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;6,000;6,00;9,0000;50,00;27,00;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;6,000;6,00;9,9800;48,00;31,14;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;2,000;2,00;5,1600;50,00;5,16;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;4,0500;50,00;2,03;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;19,7300;50,00;9,87;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;4,000;4,00;7,1227;70,00;8,55;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;4,000;4,00;2,8191;22,00;8,80;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;9,3181;70,00;2,80;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;7,1500;35,00;4,65;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;3,000;3,00;2,3270;0,00;6,98;21,00
No;Almacén 16;E26002132;14/01/2026;13:35;...;...;...;Mª JOSÉ (GRANADA);;;1,000;1,00;39,8100;44,00;22,29;21,00
No;Almacén 16;...;15/01/2026;13:34;...;...;...;Mª JOSÉ (GRANADA);;;8,000;8,00;1,6050;0,00;12,84;21,00
No;Almacén 16;...;26/01/2026;11:58;187102;;ACUMULADOR INERCIA 100 INOX 2052370 DEL PASO;ACUMULADOR INERCIA 100 INOX 2052370 DEL PASO;;;1,000;1,00;672,0000;40,00;403,20;21,00
