Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;PD/ 035;20/01/2026;8:59;SOPORTE METALICA;;SOPORTE CUBIERTA METÁLICA;SOPORTE CUBIERTA METÁLICA;;;300,000;300,00;1,5600;0,00;468,00;21,00
No;Almacén 16;PD/ 035;20/01/2026;8:59;CENTRAL NL;;PRESOR CENTRAL LACADO NEGRO CON MUELLE;PRESOR CENTRAL LACADO NEGRO CON MUELLE;;;200,000;200,00;0,8400;0,00;168,00;21,00
No;Almacén 16;PD/ 035;20/01/2026;8:59;LATERAL NL;;PRESOR LATERAL LACADO NEGRO;PRESOR LATERAL LACADO NEGRO;;;150,000;150,00;1,0400;0,00;156,00;21,00
No;Almacén 16;PD/ 035;20/01/2026;8:59;CRUCETA 25;;PERFIL 25X25X2 PARA CRUCETA 1.70M;PERFIL 25X25X2 PARA CRUCETA 1.70M;;;50,000;50,00;3,1200;0,00;156,00;21,00
