Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;2026 000588;20/01/2026;16:45;60325/2;;RESISTENCIA ENCENDIDO 260W (2016);RESISTENCIA ENCENDIDO 260W (2016);;;1,000;1,00;51,0000;40,00;30,60;21,00
No;Almacén 16;2026 000588;20/01/2026;16:45;68867MM;;DISPLAY NEGRO DE BOTONES MULTIMARCA;DISPLAY NEGRO DE BOTONES MULTIMARCA;;;1,000;1,00;60,0000;40,00;36,00;21,00
No;Almacén 16;2026 000588;20/01/2026;16:45;68865/1;;IAC CONTROL UNIT;IAC CONTROL UNIT;;;4,000;4,00;320,0000;40,00;768,00;21,00
