Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;6 000167;03/02/2026;15:34;6292;;VESTUARIO LABORAL;LOGOS ESCUDO BORADAO VITRON ENERGY;;;40,000;40,00;2,0000;0,00;80,00;21,00
No;Almacén 16;6 000167;03/02/2026;15:34;6292;;VESTUARIO LABORAL;LOGO ESCUDO BORDADO PANASONIC / VITRON ENERGY;;;14,000;14,00;3,0000;0,00;42,00;21,00
No;Almacén 16;6 000181;05/02/2026;12:06;6292;;VESTUARIO LABORAL;BOTA STEGO ESD S3 SR  NÚMERO 40 - HÉCTOR LÓPEZ;;;1,000;1,00;79,3100;0,00;79,31;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;CHALECO SOFTSHELL QUEBEC M NEGRO;;;3,000;3,00;13,4600;0,00;40,38;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;CHALECO NEGRO L;;;3,000;3,00;13,4600;0,00;40,38;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;CHALECO NEGRO XL;;;3,000;3,00;13,4600;0,00;40,38;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;CHALECO NEGRO XXL;;;3,000;3,00;13,4600;0,00;40,38;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;CHALECO NEGRO - XXX;;;3,000;3,00;15,5500;0,00;46,65;21,00
No;Almacén 16;6 000176;04/02/2026;14:02;6292;;VESTUARIO LABORAL;LOGO;;;30,000;30,00;2,0000;0,00;60,00;21,00
No;Almacén 16;;28/02/2026;13:47;6292;;VESTUARIO LABORAL;ZAPATOS HECTOR LÓPEZ RAMÍREZ;;;1,000;1,00;85,0700;0,00;85,07;21,00
