Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;011 0026954;04/02/2026;13:35;ACAI-E-BOMB-CONDE-EX;;BOMBA CONDENSADOS EXTERIOR;ACADEMIA GUARDIA CIVIL - ÚBEDA;;;1,000;1,00;73,4200;50,00;36,71;21,00
No;Almacén 16;011 0026954;04/02/2026;13:35;ACAI-TUBO6X9;;MTS TUBO CRISTAL DE 6X9;ACADEMIA GUADIA CIVIL - ÚBEDA;;;25,000;25,00;0,9600;50,00;12,00;21,00
No;Almacén 16;011 0026954;04/02/2026;13:35;ACAICANAL-CA1610;;ML CANALETA ADHESIVA 16X10 (1610OBAD);ACADEMIA GUARDIA CIVIL - ÚBEDA;;;8,000;8,00;1,2700;50,00;5,08;21,00
No;Almacén 16;011 0026954;04/02/2026;13:35;ACAI-C-CORTA-3X28;;CORTATUBOS 3-28 MM CT-174;ACADEMIA GUARDIA CIVIL - ÚBEDA;;;1,000;1,00;18,1600;50,00;9,08;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;RALAMARSEM-R-40-32;;RACOR MARSELLA M 1' - 1 1/4';LA YEDRA;;;2,000;2,00;4,5600;50,00;4,56;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;JUNTA-GOMA-ANCHA-40;;JUNTA D GOMA ANCHA DE 1 1/4';LA YEDRA;;;2,000;2,00;0,1700;50,00;0,17;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;56100565;;JUNTA TEFLÓN ANCHA 1';LA YEDRA;;;20,000;20,00;0,6500;50,00;6,50;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;VASOACS-18L;;VASO 18L EXPANSIÓN DE ACS;LA YEDRA;;;1,000;1,00;61,4090;50,00;30,70;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;LATISUPERH-H3/4X40;;H-H 3/4 X 40 CM SUPER LATIGUILLO;LA YEDRA;;;1,000;1,00;5,9600;50,00;2,98;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;RALAMACHONM - M-25;;MACHÓN DOBLE M-M 3/4;LA YEDRA;;;5,000;5,00;1,8700;50,00;4,68;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;METATEH-2012;;TE SALIDA HEMBRA 20-1/2 MULTICAPA;LA YEDRA;;;2,000;2,00;6,6400;55,00;5,98;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;40003500;;VALVULA ESFERA M-H MARIPOSA 1/2;LA YEDRA;;;2,000;2,00;5,7800;50,00;5,78;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;DESFANGADOR-38676;;DESFANGADOR MAGNÉTICO DE 1';LA YEDRA;;;1,000;1,00;166,0000;50,00;83,00;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;CALETERMOMETRO-INMER;;TERMOMETRO DE INMERSION CON VAINA;LA YEDRA;;;2,000;2,00;15,2190;50,00;15,22;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;10,000;10,00;1,6800;50,00;8,40;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;10,000;10,00;2,3500;50,00;11,75;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;4,000;4,00;4,4600;55,00;8,03;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;6,000;6,00;6,3200;55,00;17,06;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;1,000;1,00;9,8000;50,00;4,90;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;2,000;2,00;12,5700;50,00;12,57;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;4,000;4,00;5,1900;55,00;9,34;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;6,000;6,00;5,8900;55,00;15,90;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;6,000;6,00;2,1700;55,00;5,86;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;1,000;1,00;13,8700;50,00;6,94;21,00
No;Almacén 16;001 00261065;09/02/2026;15:58;...;...;...;LA YEDRA;;;1,000;1,00;0,9290;50,00;0,46;21,00
No;Almacén 16;;10/02/2026;17:38;...;...;...;INVERSOR GROWATT MOD6000TL3-X;;;2,000;2,00;73,4200;50,00;73,42;21,00
No;Almacén 16;;10/02/2026;17:38;60325/2;;RESISTENCIA ENCENDIDO 260W (2016);RESISTENCIA ENCENDIDO 260W (2016);;;1,000;1,00;86,8000;50,00;43,40;21,00
