Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH3007120;;LAMINA CONDUCCIÓN DE CALOR WLM 112X805MM;NICOLÁS CONSTRUCTOR. CALLE PERPETUO SOCORRO, 28;;;210,000;210,00;3,6200;50,00;380,10;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;$0956M2;;SCHUTZ M2 PANEL CONSTRUCCIÓN SECA 25MM EPS 606X1181 7.92M2 4003959;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;31,680;31,68;25,6200;50,00;405,82;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;$0956MT;;SCHUTZ MT TUBO DUO FLEX PE-XA 14X2 240MTS ROLLO 3003738;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;240,000;240,00;1,6700;50,00;200,40;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;$0956AR;;SCHUTZ ARMARIO COLECTOR UP9016*470MM 5006452;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;1,000;1,00;194,0200;0,00;194,02;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH5006854;;COLECTOR PLÁSTICO 3 CIRCUITOS;NICOLÁS CONSTRUCTOR -  CALLE PERPETUO SOCORRO, 28;;;1,000;1,00;240,6300;50,00;120,32;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH50000793;;CURVATUBOS 90º PLÁSTICO PARA TUBO DE 14-16-17;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;20,000;20,00;2,2000;50,00;22,00;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH5006905;;JUEGO DE 2 VÁLVULAS 1' PARA COLECTOR PLÁSTICO;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;1,000;1,00;43,7900;50,00;21,90;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;$0956RT;;SCHUTZ RACOR TUBO-COLECTOR;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;10,000;10,00;3,0600;50,00;15,30;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH5004131;;CABEZAL ELÉCTRICO ENERGIESPARER PLUS 230V;NICOLÁS CONSTRUCTOR -  CALLE PERPETUO SOCORRO, 28;;;3,000;3,00;29,5900;50,00;44,39;21,00
No;Almacén 16;100020101R61211032201;06/02/2026;12:58;SCH5006005;;TERMOSTATO DIGITAL 230V FRIO/CALOR SCHUTZ VARIMATIC LCD;NICOLÁS CONSTRUCTOR - CALLE PERPETUO SOCORRO, 28;;;1,000;1,00;60,7400;50,00;30,37;21,00
