Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON TALLA S NEGRO ;;;3,000;3,00;24,3000;0,00;72,90;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON TALLA M NEGRO. SE PIDIERON 8, VINIVERON 7. REPUESTA LA QUE FALTABA;;;8,000;8,00;24,3000;0,00;194,40;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON TALLA L NEGRO;;;10,000;10,00;24,3000;0,00;243,00;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON TALLA XL NEGRO;;;10,000;10,00;24,3000;0,00;243,00;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON TALLA XXL NEGRO;;;9,000;9,00;24,3000;0,00;218,70;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CHAQUETA SOFTSHELL HORIZON NGREO TALLA XXXL NEGRO;;;3,000;3,00;24,3000;0,00;72,90;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLASICA TALLA S NEGRO. SE PIDIERON 5, VINIVERON 4 Y SE REPUSO LA QUE FALTABA;;;5,000;5,00;16,2700;0,00;81,35;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLASICA TALLA M NEGRO;;;5,000;5,00;16,2700;0,00;81,35;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLÁSICA TALLA L NEGRO;;;10,000;10,00;16,2700;0,00;162,70;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLÁSICA TALLA XL NEGRO;;;10,000;10,00;16,2700;0,00;162,70;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLÁSICA TALLA XXL NEGRO. SE PIDIERON 9 , VINIVERON 8 Y SE REPUSO LA QUE FALTABA;;;9,000;9,00;16,2700;0,00;146,43;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;SUDADERA CLÁSICA TALLA XXXL NEGRO;;;3,000;3,00;16,2700;0,00;48,81;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CAMISETA BUGATTI TALLA M BLANCO/VERDE;;;10,000;10,00;5,7400;0,00;57,40;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CAMISETA BUGATTI TALLA L BLANCO/VERDE;;;5,000;5,00;5,7400;0,00;28,70;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CAMISETA BUGATTI TALLA XL BLANCO/VERDE;;;4,000;4,00;5,7400;0,00;22,96;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CAMISETA BUGATTI TALLA XXL BLANCO/VERDE;;;10,000;10,00;5,7400;0,00;57,40;21,00
No;Almacén 16;5 000933;20/01/2026;13:49;6292;;VESTUARIO LABORAL;CAMISETA BUGATTI TALLA XXXL BLANCO/VERDE. FALTAN TODAS;;;0,000;0,00;0,0000;0,00;0,00;21,00
No;Almacén 16;6 000089;21/01/2026;16:34;6292;;VESTUARIO LABORAL;PANTALÓN 4 XTREME XXL NEGRO- JESÚS MEDINA;;;1,000;1,00;24,2200;0,00;24,22;21,00
No;Almacén 16;6 000134;29/01/2026;13:44;6271;;PUBLICIDAD Y PROPAGANDA;AYUNTAMIENTO GUADAHORTUNA 1500X750MM;;;1,000;1,00;30,0000;0,00;30,00;21,00
No;Almacén 16;6 000148;30/01/2026;14:20;6292;;VESTUARIO LABORAL;PANTALÓN XXL NEGRO PARA JESÚS MONTILLA;;;1,000;1,00;24,2200;0,00;24,22;21,00
No;Almacén 16;;31/01/2026;12:21;6292;;VESTUARIO LABORAL;LOGO BORDADO PANASONIC EN SUDADERAS;;;42,000;42,00;1,0000;0,00;42,00;21,00
