Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;8144992099;25/02/2026;18:29;0214763909/003;;TORN-HEX-ALACO-C-ARN19LL10(A3K)-6.3X90;ALMACÉN;;;150,000;150,00;0,1913;0,00;28,70;21,00
No;Almacén 16;8144874395;24/02/2026;17:30;020648/120;;TOR-PIAS-CIL-AW25-(A2K)-4.8X120;ALMACÉN;;;100,000;100,00;0,6480;0,00;64,80;21,00
No;Almacén 16;8144874395;24/02/2026;17:30;AUTOR CONICA/1;;TORNILLO 6.3X25 P16 AUTORROSCANTE PUNTA CÓNICA;ALMACÉN;;;500,000;500,00;0,1588;0,00;79,40;21,00
No;Almacén 16;;28/02/2026;16:10;0893121375024/24;;PULIMENTO - PARA- METAL-75ML;ALMACÉN;;;1,000;1,00;0,0000;0,00;0,00;21,00
