Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;105138439/20153626;19/02/2026;17:16;AS01016;;JUEGO SOPORTES TANQUE 650MM;ANASTASIO (FUENTE TÓJAR);;;1,000;1,00;126,0000;40,00;75,60;21,00
No;Almacén 16;105138439/20153626;19/02/2026;17:16;AS02213;;BOLSA BÁSICA AMORTIGUACIÓN TIPO B5 CON ANTIVIBRADORES A45;NASTASIO (FUNTE TÓJAR);;;1,000;1,00;1,9000;0,00;1,90;21,00
No;Almacén 16;;28/02/2026;13:09;CO14652;;TERMOSTATO DIGITAL DE SUPERFICIE MUNDOCONTROL FN-42;TERMOSTATO DIGITAL DE SUPERFICIE MUNDOCONTROL FN-42;;;1,000;1,00;118,0000;35,00;76,70;21,00
