Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;Refª.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;;15/01/2026;12:10;153603;;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25;VALVULA ESFERA C. BOLA 1/2 M-H MARIPOSA NILE VA25;;;2,000;2,00;7,7000;54,00;7,08;21,00
No;Almacén 16;;15/01/2026;12:10;3004E;;MACHON DOBLE 1/2 LATON;MACHON DOBLE 1/2 LATON;;;2,000;2,00;1,4000;54,00;1,29;21,00
No;Almacén 16;;15/01/2026;12:10;7109;;CONEXIÓN GIGAN H 1/2 X 400 MM;CONEXIÓN GIGAN H 1/2 X 400 MM;;;2,000;2,00;13,1100;60,00;10,49;21,00
No;Almacén 16;;15/01/2026;12:10;861251;;TERMO ELECTRICO DELTA 100V;TERMO ELECTRICO DELTA 100V;;;1,000;1,00;251,4500;54,00;115,67;21,00
No;Almacén 16;;15/01/2026;12:10;GVT-8;;VASO DE EXPANSION ACS 8L GUT 3/4';VASO DE EXPANSION ACS 8L GUT 3/4';;;1,000;1,00;45,0000;54,00;20,70;21,00
No;Almacén 12;;15/01/2026;12:10;00205030;;VÁLVULA SEGURIDAD 1/2  HH 3 BAR EMMETI;VÁLVULA SEGURIDAD 1/2  HH 3 BAR EMMETI;;;12,000;12,00;7,6900;52,00;44,29;21,00
